Company Name,Industry,Symbol,Series,ISIN Code,Bloomberg Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,360ONE IS Equity
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,3M IS Equity
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,ABB IS Equity
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,ACC IS Equity
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,ACMESOLA IS Equity
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,AIAE IS Equity
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,APAT IS Equity
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,AUBANK IS Equity
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,AWL IS Equity
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,AADHARHF IS Equity
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,ARTO IS Equity
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,AAVAS IS Equity
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,BOOT IS Equity
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,ACCE IS Equity
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,ADANIENS IS Equity
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADE IS Equity
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ADANIGR IS Equity
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADSEZ IS Equity
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,ADANI IS Equity
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ATGL IS Equity
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,ABCAP IS Equity
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,ABFRL IS Equity
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019,ABLBL IS Equity
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,ABREL IS Equity
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,ABSLAMC IS Equity
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,AEGISLOG IS Equity
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018,AEGISVOP IS Equity
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,AFCONS IS Equity
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,AFFLE IS Equity
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,AJP IS Equity
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023,AKUMS IS Equity
