1,2,3,4,5,6,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Symbol,Ticker,Cash ,Name,FUT_CONT_SIZE Sep,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last
NIFTY,NZ,NIFTY INDEX,Nifty,,,,,,,,,,
NZ,NZ,NIFTY INDEX,Nifty,,,,,,,,,,
NSEBANK,AF,NSEBANK INDEX,NSEBANK,,,,,,,,,,
AF,ABB,ABB IS Equity,ABB INDIA LTD,125,ABB=Q5 is equity,ABB=U5 is equity,ABB INDIA LTD Aug25,ABB INDIA LTD Sep25,BBG01V9XSG02,BBG01VT8QJJ1,125,125,5065.5
,ABCAP,ABCAP IS Equity,ADITYA BIRLA CAPITAL LTD,3100,ABCAP=Q5 is equity,ABCAP=U5 is equity,ADITYA BIRLA CAP Aug25,ADITYA BIRLA CAP Sep25,BBG01V9XSCG4,BBG01VT8QGC4,3100,3100,269.1
,ABFRL,ABFRL IS Equity,ADITYA BIRLA FASHION AND RET,#N/A Invalid Security,ABFRL=Q5 is equity,NA,ADITYA BIRLA F&R Aug25,#N/A Invalid Security,BBG01V9XSC01,#N/A Invalid Security,2600,#N/A Invalid Security,76.1
ADANIENSOL,ADANE,ADANIENS IS Equity,ADANI ENERGY SOLUTIONS LTD,675,ADANE=Q5 is equity,ADANE=U5 is equity,ADANI ENERGY SOL Aug25,ADANI ENERGY SOL Sep25,BBG01V9XSCJ1,BBG01VT8QGG0,675,675,786.25
,ADE,ADE IS Equity,ADANI ENTERPRISES LTD,300,ADE=Q5 is equity,ADE=U5 is equity,Adani Enterprises Aug25,Adani Enterprises Sep25,BBG01V9XSHT9,BBG01VT8QLK4,300,300,2286.8
,ADANG,ADANIGR IS Equity,ADANI GREEN ENERGY LTD,600,ADANG=Q5 is equity,ADANG=U5 is equity,ADANI GREEN ENER Aug25,ADANI GREEN ENER Sep25,BBG01V9XSCK9,BBG01VT8QGH9,600,600,920.85
ADANIPORTS,ADSEZ,ADSEZ IS Equity,ADANI PORTS AND SPECIAL ECON,475,ADSEZ=Q5 is equity,ADSEZ=U5 is equity,Adani Ports Aug25,Adani Ports Sep25,BBG01V9XSK49,BBG01VT8QN48,475,475,1306
,ALKEM,ALKEM IS Equity,ALKEM LABORATORIES LTD,125,ALKEM=Q5 is equity,ALKEM=U5 is equity,ALKEM LABORATORIES Aug25,ALKEM LABORATORIES Sep25,BBG01V9XSBP6,BBG01VT8QF72,125,125,5386.5
AMBUJACEM,ACEM,ACEM IS Equity,AMBUJA CEMENTS LTD,1050,ACEM=Q5 is equity,ACEM=U5 is equity,AMBUJA CEMENTS Aug25,AMBUJA CEMENTS Sep25,BBG01V9XSGY5,BBG01VT8QKD4,1050,1050,577
,ANGEL,ANGELONE IS Equity,ANGEL ONE LTD,250,ANGEL=Q5 is equity,ANGEL=U5 is equity,ANGEL ONE LTD Aug25,ANGEL ONE LTD Sep25,BBG01V9XSCM7,BBG01VT8QGJ7,250,250,2660.1
